city_name_cn,city_en,population_2022,ev_stock_2022,ev_stock_per_100_people
信阳市,Xinyang,6273076.225174,15034,0.239659
忻州市,Xinzhou,2711081.224601,10043,0.370443
宣城市,Xuancheng,2502664.792435,12491,0.499108
徐州市,Xuzhou,9136406.961132,75289,0.824055
雅安市,Yaan,1447319.593938,3883,0.268289
延安市,Yanan,2311117.234821,5001,0.216389
盐城市,Yancheng,6701555.688687,32986,0.492214
阳泉市,Yangquan,1330419.450579,9411,0.707371
扬州市,Yangzhou,4565379.755569,36261,0.79426
烟台市,Yantai,7113275.384465,41675,0.585876
宜宾市,Yibin,4637490.771061,12148,0.261952
宜昌市,Yichang,3762237.143192,22856,0.607511
宜春市,Yichun,5070618.299589,14563,0.287204
银川市,Yinchuan,2922869.743499,20494,0.70116
营口市,Yingkou,2331256.724083,6205,0.266165
鹰潭市,Yingtan,1169103.804608,3819,0.32666
益阳市,Yiyang,3853546.252166,8874,0.230281
永州市,Yongzhou,5332524.118135,9607,0.180159
岳阳市,Yueyang,5082533.507898,15681,0.308527
玉林市,Yulin_Guangxi,5881341.172064,18420,0.313194
榆林市,Yulin_Shaanxi,3672073.296443,11571,0.315108
运城市,Yuncheng,4836615.867418,31519,0.651675
云浮市,Yunfu,2414840.187213,7608,0.315052
枣庄市,Zaozhuang,3890403.602022,28916,0.743265
张家界市,Zhangjiajie,1522696.78922,4095,0.268931
张家口市,Zhangjiakou,4128783.308638,7885,0.190976
长治市,Zhangzhi,3219903.624814,20567,0.638746
漳州市,Zhangzhou,5111901.723299,19385,0.379213
湛江市,Zhanjiang,7097857.884784,13335,0.187874
肇庆市,Zhaoqing,4181370.270812,15964,0.381789
郑州市,Zhengzhou,12902405.02738,316398,2.45224
镇江市,Zhenjiang,3231261.475091,25958,0.80334
中卫市,Zhongwei,1088467.759924,947,0.087003
周口市,Zhoukou,9125867.423066,28795,0.315532
舟山市,Zhoushan,1149191.597563,6452,0.561438
珠海市,Zhuhai,2509776.364786,37868,1.50882
驻马店市,Zhumadian,7051871.253928,42930,0.608775
株洲市,Zhuzhou,3927165.362018,16448,0.418826
淄博市,Zibo,4739416.904351,41487,0.875361
遵义市,Zunyi,6707189.135466,22677,0.3381
